path	classification	disposition
README.md	current_operational	update_to_agent_logic
adl/README.md	current_operational	update_to_agent_logic
adl/src/aws_remote_validation.rs	current_operational	update_to_agent_logic
adl/src/bin/adl_aws_remote_validation.rs	current_operational	update_to_agent_logic
adl/tools/publish_adl_builder_image_codebuild.sh	current_operational	update_to_agent_logic
adl/tools/run_aws_spot_remote_validation_lane.sh	current_operational	update_to_agent_logic
adl/tools/run_nessus_remote_validation.sh	current_operational	update_to_agent_logic
adl/tools/run_v0915_multi_agent_quality_comparison.py	current_operational	update_to_agent_logic
adl/tools/setup_aws_codefriend_build_resources.sh	current_operational	update_to_agent_logic
adl/tools/setup_aws_spot_remote_validation_github_resources.sh	current_operational	update_to_agent_logic
docs/tooling/CI_LOG_ARCHIVE_S3.md	current_operational	update_to_agent_logic
tools/aws_remote_validation/src/aws_remote_validation.rs	current_operational	update_to_agent_logic
tools/aws_remote_validation/src/bin/adl_aws_remote_validation.rs	current_operational	update_to_agent_logic
.csdlc/**	live_and_historical_lifecycle	preserve_legacy_issue_authority
historical_issue_release_and_evidence_links	historical	preserve_legacy_history_links
adl-spec_schema_ids	stable_identity	preserve_unchanged
